Project Name	Image Filename	Extracted Text
181456037 Como um redesign aumentou a conversão em 7%	behance_181456037_05.png	"A

Na dinamica da matriz
CSD, esclarecemos
duvidas e validamos os
caminhos do projeto

 

Qi

 

 

Duvidas

e Qual parte do fluxo o usuario ndo entende?
e Por que os usuarios escolhem Mercado Pago?

e O que se entende que ocorre apds a compra?

Suposicoes

e Meio reserva opcional aumenta a conversdo?

° Qual o melhor meio de pagamento para usuarios?

Certezas

e Usuarios querem se vincular rapido

e Usuarios querem sentir seguranga"
181456037 Como um redesign aumentou a conversão em 7%	behance_181456037_04.png	"Q

Descobrimento

Organizamos e analisamos
dados e hipoteses que ja
existem sobre o produto

« Alinhamos informagées e
métricas com IT e Produto.

Fizemos dinamicas com
outras areas para agregar
conhecimento (matriz CSD,
instancias de feedback e
syncs variadas).

Realizamos o Kickoff do
projeto em uma reuniao
com as equipes envolvidas.

>

PROCESSO

Passo a passo do projeto

?
Ideagao

Geramos ideias com base
no entendimento inicial

« Reunimos duplas de designers
e redatores para criar as
primeiras versdées, explorando
possibilidades.

Em seguida, liderangas e
outras equipes deram opinido
sobre a proposta, para gerar
uma versao final.

Hi

Prototipagao

Construimos a jornada
com base na proposta final

« Desenhamos a proposta final -
e também fizemos ajustes
necessarios de conteudo e
storytelling.

Construimos um protdtipo
(simulagdo da experiéncia) que
foi validado pela equipe para
ser testados por usuarios.

 

1

Validagao

Recrutamos usuarios para
um teste de usabilidade

« Recrutamos usuarios para
testes e descobrimos o ponto
da jornada que gerava duvidas.

« Este achado nos guiou para
fechar uma versdao final da
proposta."
181456037 Como um redesign aumentou a conversão em 7%	behance_181456037_08.png	"O antes e depois

Além da estrutura, melhoramos a UI e demos mais
ritmo para a navegacao.

Antes

 

   

Globoplay

 
  
 

© °
ey Pee Conecte sua conta a Globoplay

; ; Conecte Mercado Pago a Globoplay para
Na jornada anterior, o saldo pagar com seu dinheiro em conta Seus pagamentos serao feitos com: Aproveitamos para mudar a

Yaa exo) al CMMs] acolo M=S\Ko) Vo] 00 UI, atualizando logos e

 
 
  

cu KoreR rvsletels Saldo no Mercado Pago melhorando espacamentos
uSUarloS NaS pesquisas que Quando nao houver saldo, usaré 0 seguinte meio de pagamento: © 9 e cores.
realizamos estavam com Pisponivel: RS 143,80

  
  

muito atrito de — AMEX final 1847 p
entendimento - entdo - /

optamos por dividir as

informagoes: primeiro,

seguida, o cartao. Continuar
Voltar para Globoplay

mostramos o saldo e, em
Voltar para Globoplay

     
  

        

 
  
 
 
 

Na nova experiéncia optamos
pelo modal ao invés de tela,
para passar a ideia de mais
agilidade - e diminuirmos a
Oo carga cognitiva com menos
Saldo no Mercado Pago 4 ~
informagdes

Ci -

Globoplay sempre tentara cobrar
destes meios de pagamento:

Na experiéncia antiga, havia
uma tela - e nado um modal -
que servia para sinalizar o
fim da experiéncia de
vinculagao € 0 resumo do Globoplay sempre tentara cobrar dos
meio de pagamento seguintes meios de pagamento:

  
 
 
 

Revise seus meios de
pagamento e confirme a aod
a

conexao com Globoplay

   

   

VISA AMEX com final 1847

Quando nao houver saldo, sera usado 0 meio
secundario registrado

Faremos uma cobran¢a de R$ 1 no
cartdo apenas para valida-lo. Em
seguida, te devolveremos 0 valor.

| Confirmar

Us Voltar

EXPRESS

   

Confirmar

Direcionando a Globoplay en 9 segundos

Continuar

 
   

Como foram os testes

Fizemos 2 baterias de testes com usuarios de diferentes perfis, sobre as
principais dores percebidas nos feedbacks da experiéncia.

| = |

Eu ficaria meio insegura de confirmar, porque

nao entendi se vai ser usado o saldo ou o cartao
9 de 10 pessoas

entenderam que nado seriam cobradas
Jaqueline imediatamente ao concluirem o fluxo.

10 de 10 pessoas

conseguiram concluir o fluxo de vincula¢ao.
Sempre priorizo fazer meus pagamentos pelo
Mercado Pago porque ja tenho saldo 1a

TESTE 2

Alisson

3 de 5 pessoas

Existe muita praticidade e é muito facil. Tudo
foi muito tranquilo. Cadastrei e é tudo tao
pratico. Todas as minhas compras agora eu
uso saldo ou cartao de crédito.

5 de 5 pessoas

Emerson

As opinidoes e resultados dos testes se relacionaram diretamente com
as friccdes identificadas no inicio do projeto - e as iteracoes realizadas
com base nesta analise foram refletidas no alcance da meta da iniciativa:

um aumento de

Obrigado por visitar!"
181456037 Como um redesign aumentou a conversão em 7%	behance_181456037_07.png	"Comecamos
com o wireframe

ANALISAMOS O FLUXO
PARA DAR MAIS FLUIDEZ

Exploramos a idéia de separar e
priorizar as informagdes de
pagamento, para confundir
menos o usuario

REVISAMOS O CONTEUDO
PARA SER MAIS SIMPLES

Experimentamos com textos de
acordo com cada cenario, para
deixar o conteudo mais
educativo e claro para o usuario

ESTUDAMOS ADICIONAR UM
STEP DE RESUMO DE COMPRA

Como estamos falando de meio de
pagamento, foi interessante pensar
em conceitos sobre como dar um
resumo da compra para o usuario

Meio de pagamento
principal

Poe

Conexao com Mercado Pago

 

Conecte sua conta a {Seller}

Os pagamentos serao feitos com:

Saldo no Mercado Pago
Disponivel: R$ 23,40

Loven inlet ls

Voltar para o {Seller}

Meio de pagamento
reserva

ea ie

<  Conexao com Mercado Pago

 

MP U

Conecte sua conta a {Seller}

Defina um cartdo para usar
quando vocé nao tiver saldo

Visa {Crédito} **** 1234
Santander

©

Cédigo de seguranca

456 ©

Mastercard {Débito} **** 1234
Santander

Escolher outro cartéo v

N&o quero usar um cartao

Conectar

Voltar

Tela de confirma¢cao

{Seller} sempre tentara cobrar
destes meios de pagamento:

Saldo no Mercado Pago

AMEX com final 1847

Quando nao houver saldo

e Faremos uma cobranga de R$ 1no
cartéo apenas para valida-lo, Em
seguida, te devolveremos 0 valor.

(Ooaliauitele

Voltar"
181456037 Como um redesign aumentou a conversão em 7%	behance_181456037_06.png	"B

Criamos um
fluxo melhor"
181456037 Como um redesign aumentou a conversão em 7%	behance_181456037_02.png	"01

INTRODUCAO

O quee
Wallet Connect?

Uma carteira digital que permite que usuarios
utilizem a conta Mercado Pago para pagar - sempre
que quiserem - servicos de grandes marcas digitais
(Uber, Disney+, HBO, Facebook, entre outras).

Os pagamentos servem para compras Uunicas ou
de assinaturas - e sdo feitos sempre com saldo
na conta, com a possibilidade de cadastrar
cartoes de débito/crédito como meios reserva.

 
 

~OSGO0S

 

Continuar

Voltar para Globoplay

GB Pagamentos com praticidade e seguranga"
181456037 Como um redesign aumentou a conversão em 7%	behance_181456037_09.png	"Créditos

UX

Roberta Firmino
Marcella Giugliodori
Luciana Alves
Matheus Borba
Pedro Sfeir

Estevao Rinaldi
Estefania Gilges

Agustin Jeansalle

COLABORADORES
Alejandra Ponce

Raniel de Oliveira

IT

Florencia Holzmann
Mauricio Sanchez
Onnig Panossian

Facundo Silva

COLABORADORES
Juan Del Campo
Ariel Martinez
Ignacio Nieto

Bruno Gambier

Producto
Cinthia Mancusi
Jordana Gongalvez

Joao Pedro Tonini"
181456037 Como um redesign aumentou a conversão em 7%	behance_181456037_01.png	"2022 - 2023

Como um redesign
de produto
aumentou em 7% Sous pagamentos sero feitos com
Sua conversao © sort

Disponivel: R$ 143,80"
181456037 Como um redesign aumentou a conversão em 7%	behance_181456037_10.png	"Quer ver mais? Siga-nos!

Nao se esquega de curtir, comentar e nos seguir para nao perder
as ultimas noticias da equipe de UX do Mercado Livre.

Bé rat y @0

Behance Dribbble Instagram Twitter Medium

ey"
181456037 Como um redesign aumentou a conversão em 7%	behance_181456037_03.png	"02

CONTEXTO
Por que fizemos o redesign?

 

Antes de finalizar, como vocé avalia
sua experiéncia até aqui?

O a» Qual o motivo da sua avaliagao?
O

dos usuarios nao entendiam Tive um problema
como funciona o produto.
Identificamos isso via
feedback na experiéncia.

Quero pagar com Mercado Crédito
Quero pagar com Pix

Outro motivo

Pular

03

DESAFIO

Entender o ruido e
comunicar a solucao

Tivemos que identificar no fluxo qual o ponto
que gerava mais confusdo nos usuarios - para
depois aplicar uma abordagem mais
compreensivel e educativa na jornada.

O problema identificado:

Descobrimos nas pesquisas e investigagdes que
nossos usuarios nao compreendiam a dinamica
de cadastro e utilizagao de meios de
pagamento.

Assim, estabelecemos a meta para o projeto:
um aumento de conversao entre 5 a 7%."
