Project Name	Image Filename	Extracted Text
92648323 Mercado Envíos Flex	behance_92648323_11.png	"FI

Los conductores tienen todos
los detalles para hacer la entrega

Si lo necesitan, pueden llamar a los Hola, como estas? g&
compradores o mandarles un mensaje. Ya estoy en tu domicilio con el paquete.

4:35 pm W

Voy bajando a buscarlo, gracias!

Sucre 1726 4:35 pm
PB, Dpto 7, Belgrano

En camino Perfecto, te espero.

om x 4:36pm “/
x
9
R
Los conductores y compradores pueden
x oo 7 chatear para coordinar la entrega.

“A

Silvio Corvalan e Q

a 184623986

S: Grow

Los compradores tienen que firmar
el comprobante de entrega digital.

a

IX

a Entregar y firmar

No puedo entregarlo"
92648323 Mercado Envíos Flex	behance_92648323_05.png	"+

Pueden elegir en qué productos
ofrecer envios en el dia

Estaran destacados en el filtro Llega hoy para
que los compradores los encuentren primero.

Mis publicaciones

Acciones masivas

Agregar Mercado Envios Flex"
92648323 Mercado Envíos Flex	behance_92648323_04.gif	"CABA Obligatorio

Vicente Lopez

Tres de Febrero

Tigre

San Miguel

San Martin

San Isidro

San Fernando

Quilmes

Morén

$139 99

$199 99

$199 99

$244 99

$244 99

$199 99

$199 99

$ 244 99

$244 99

>

Los vendedores pueden ver el
precio del envio que pagarén los
compradores seguin su ubicacién.

Q

Configuran su area de cobertura

Eligen en qué zonas ofrecer envios en el dia."
92648323 Mercado Envíos Flex	behance_92648323_12.png	"O-------

jPaquete entregado!"
92648323 Mercado Envíos Flex	behance_92648323_13.png	éQuerés ver mas del proceso?
92648323 Mercado Envíos Flex	behance_92648323_02.png	"NUESTRO DESAFIO

& Vendedores Compradores 35 Conductores
> O

Integrar los envios rapidos Mostrar esos envios rapidos Hacer un seguimiento
que hacian por su cuenta. en el sitio y destacarlos. preciso de los envios."
92648323 Mercado Envíos Flex	behance_92648323_09.gif	"ra
Lo

Escanean los paquetes
a entregar con la app

Creamos un recorrido en su app con
todos los domicilios que deberia visitar.

Vv

Un sonido indica que el cédigo
fue escaneado correctamente.

 

 

Los paquetes se agrupan en un
listado para poder controlarlos
luego del escaneo.

oN"
92648323 Mercado Envíos Flex	behance_92648323_01.png	"Mercado Envios _——————_ Equipo UX

S

Nueva
experiencia
de envios
en el dia

Mercado Envios Flex

Algunos envios podian tardar hasta 5 dias, por eso los
compradores preferian acordar otra forma de envio o
retirar sus productos personalmente. Para mejorar esta
experiencia, creamos Mercado Envios Flex, y ahora
nuestros usuarios compran y venden con envios en el dia.

Ke
ose “
XX)
. CONF
vat OY 10 ©
Nv
Qe
\Ye
equnredo>
2,xe3

 

a ALBO
* -
gucel

2019"
92648323 Mercado Envíos Flex	behance_92648323_06.png	"COMPRADORES

Destacamos en las busquedas de los
compradores los productos que Ilegan hoy"
92648323 Mercado Envíos Flex	behance_92648323_10.png	"=

Los conductores avisan
cuando estan llegando

Cuando la app detecta que el conductor esta
cerca del domicilio de entrega, le envia una
notificaci6n al comprador.

   

Sucre 1726 >
PB, Dpto 7, Belgrano

  

& Mercado Libre 1:45PM v
Tu paquete esta Illegando

 
   

 

 

En camino
| Preparate para recibir tus zapatillas Nike React Eleme...
Juana Azurduy 1938 > P
Piso 2, Dpto 6, Nufiez
Voy para alla
Arias 3751 >

Piso 7, Saavedra

Voy para alla

 

Agregar paquetes"
92648323 Mercado Envíos Flex	behance_92648323_14.png	"Bé & vy wi

Behance Dribbble Instagram Twitter Medium

S

Buscamos talentos para sumar al equipo

Si te gustan los desafios, el trabajo en equipo, el disefho
y la tecnologia, no dudes en contactarnos."
92648323 Mercado Envíos Flex	behance_92648323_07.gif	"Llegan hoy

©

Los envios rapidos se
encuentran mas facil
con el filtro exclusivo
Llega hoy

Destacamos los productos con

envios en el dia dentro del sitio

y las busquedas.

   

 

 

 

 

 

  
 
 

oa $ 6.600 $ 6.090 $ 6.600
Lo Lega mafana Envio gratis,
,
,
+
S “i a oe es
$ 6.695 $7.299 $ 5.990
Envi gratis Envio gratis
$ 7.599
7
,
,
=, Lega hoy
sb Comp Joo Os pr 's pueden ver ra
para que ‘
on el dia. L
,
°. uo"
92648323 Mercado Envíos Flex	behance_92648323_15.png	"mercadolibreuxteam —

UX

Ariel Perazzo
Eugenia Corei
Fernando Martin
Gabriel Martin
Astrid Bauckhage
Tomas Araujo Salas
Giuli Vicente

Lucila Espdsito
Lucila Di Vanni Frick

Melisa Amengual

Créditos

Desarrollo

Rodrigo Fernandez
Facundo Mariano Ciancio
Barbara Weinberg
Fernando Yanucio
Gustavo Lema

Catriel Martinez

Javier Santagada

David Leone

Federico Ferreiro

Federico Fernandez

Sebastian Bravo
Leandro Britez
Leandro Fantin
Sebastian Arevalo
Emiliano Lazaro
Jessica Gomez
Santiago Aguilera
Javier Forestello
Emilio Castro

Hector Jimenez"
92648323 Mercado Envíos Flex	behance_92648323_03.png	"VENDEDORES

Creamos una herramienta para que los
vendedores configuren sus envios en el dia

ago envios en el dia

© Hag i | di

Eligen hasta qué hora De lunes a viernes envia en el dia todas las ventas que recibas hasta las:
ofrecer envios en el dia

14 hs ¥Y  12hs

Tienen que entregar en el dia todo lo que vendan
hasta ese horario y el resto al dia siguiente. 13 hs

14 hs"
92648323 Mercado Envíos Flex	behance_92648323_08.png	"CONDUCTORES

Desarrollamos una app para que
los conductores hagan los envios"
