Project Name	Image Filename	Extracted Text
156044177 Nueva funcionalidad para traer dinero a Mercado Pago	behance_156044177_01.gif	"<= Vere aca) ae Leys ter)

     
  
     

Una forma de |
ingresar dinero ‘

FR Débito inmediato —_ecoMeNDADO

desde la app =

© Transferencia bancaria

Cm ee ge tC

Desarrollamos una nueva funcionalidad para traer tu dinero

Desde una tienda

desde una cuenta bancaria a Mercado Pago.
FB Etectivo"
156044177 Nueva funcionalidad para traer dinero a Mercado Pago	behance_156044177_08.png	"mercadolibreuxteam Créeditos
NZ ~_ Xx Desarrollo Producto

  

U

Federico Codino Omar Moreno Andrés Bernasconi
Leandro Di Pasquale Juan Berdugo Fernando Giannoni
Alejandro Prieto Cristian Chiappone Gonzalo Gomez
Gaston Vega German José Condori Melani Rouge

Facundo Malerba Luciano Quiroga Agustin De Las Carreras
Antonella Calabro Nicolas Lambertucci

Estefania Ballester Sebastian Andrés Amaya Research

Victoria Tulli Jonathan Barrionuevo Facundo Ruiz

Paula Gil Martin Silva Nicolas Gicovate

Lucia Yanes Paul Espinosa Renato Angelo Poulicer
Sol De Bernardo Ezequiel Caamano

Karen Da Silva Moraes Ezequiel Artigas

Sol Ana Nader

Motion
Nicolas Manjon

Guido Gaudioso"
156044177 Nueva funcionalidad para traer dinero a Mercado Pago	behance_156044177_03.gif	"aM laW oye VA oLel MUTA ot= INNA -¥ 4

bancaria a tu nombre

1234567890
QWERTYUtIOP
ASDFGHJKL
@ ZXCVBNM @&"
156044177 Nueva funcionalidad para traer dinero a Mercado Pago	behance_156044177_07.png	"éQué impacto tuvo Débito
inmediato?

de usuarios por mes fondeos con Débito inmediato / mes

de bancos operando con por cuenta con Débito inmediato / mes
Débito inmediato

{Gracias por visitarnos!"
156044177 Nueva funcionalidad para traer dinero a Mercado Pago	behance_156044177_02.png	"PROPUESTA UX

Crear un flujo que le permita a
las personas usuarias ingresar
dinero de forma simple y rapida
con el CBU o alias de su cuenta
bancaria.

v

PRINCIPALES

Desafios

 

g a= ©

Brindarle seguridad a las personas Jerarquizar la informacion dentro de un Mejorar la experiencia en pantallas de
usuarias cuando ingresan y guardan sus listado de cuentas bancarias para que demora para que las personas usuarias
sea facil identificarlas y administrarlas. sepan que estamos trabajando para

datos bancarios en la app. coco in aneracion"
156044177 Nueva funcionalidad para traer dinero a Mercado Pago	behance_156044177_09.png	"Buscamos talentos para sumar al equipo

Si te gustan los desafios, el trabajo en equipo, el diseno y la
tecnologia, no dudes en contactarnos."
156044177 Nueva funcionalidad para traer dinero a Mercado Pago	behance_156044177_10.png	"éQuerés ver mas? j;Seguinos!

No te olvides de apreciar, comentar y seguirnos para no perderte
las ultimas novedades del equipo de UX de Mercado Libre.

Bé oF y @0

Behance Dribbble Instagram Twitter Medium

we"
156044177 Nueva funcionalidad para traer dinero a Mercado Pago	behance_156044177_05.png	
156044177 Nueva funcionalidad para traer dinero a Mercado Pago	behance_156044177_04.png	"%o

Validamos que es tu cuenta

Ya podés ingresar dinero a
‘Mercado Pago

Elegi cémo identificar esta cuenta

o0A6s0

JERARQUIA

Organizamos toda la informacién en una estructura que
permite diferenciar las cuentas rapidamente dentro del
listado. Definimos 3 niveles:

1

2

3

Isotipo de la entidad financiera
Nombre del banco

Datos de la cuenta

£2 Ingresar dinero

@  \dentificar cuenta

{8 Eliminar

2. ELIMINAR CUENTAS

 

%

La cuenta debe estar a
tu nombre

Usé e! CBU o alias de tu cuenta bancarla
para ingresar dinero a Mercado Pago.

Volver al inicio

F23D4F

 

Elegi cémo identificar esta cuenta

Banco Santander: cuenta con

 

Cone

1234567890
QWERTYUIOP
ASDFGHJKL
@ ZXCVBNM @

fi .

wy

2Querés eliminar esta
cuenta?

Banco Gaimicia

'SE7RTESAGEET

ore

 

 

SEGURIDAD

Con este flujo, las personas usuarias pueden registrar
una cuenta bancaria a su nombre y usarla para hacer
ingresos de dinero.

Para que se sientan seguras al ingresar sus datos,

utilizamos el color coding e iconografia para dar
feedback sobre el alta exitosa 0 no de la cuenta.

Elegi desde qué cuenta ingresar dinero

Tus cuentas guardadas ©

fy Banco Luzuriaga

   

 

a Banco Frima

   

Nueva cuenta

a seguridad de tus cuentas.

\ ACCIONES

Las personas usuarias pueden:

| 1. IDENTIFICAR CUENTAS

 

 

Elegi desde qué cuenta ingresar dinero

Tus cuentas guardadas ©

Banco Sanser

a
HBR
ag
4. Nueva cuenta

seguridad de tus cuentas,"
156044177 Nueva funcionalidad para traer dinero a Mercado Pago	behance_156044177_06.gif	"PANTALLA DE ESPERA

En algunas ocasiones, las personas usuarias tienen
que esperar hasta 15 segundos para que se
complete la acreditacién del dinero.

Esta espera puede generar un pain point en la
experiencia. Por eso, utilizamos una animacion para
captar y mantener la atencién de la persona usuaria
en ese momento.

El concepto de la animacién fue evitar loops y,
ademés, denotar energja y velocidad. Para lograrlo,
creamos varios escenarios con transiciones
dinamicas que aluden al trabajo que estamos
haciendo para completar la operacion.

 

Estamos procesando
la acreditacion

Esto demoraré menos de 30 segundos."
