Project Name	Image Filename	Extracted Text
84455255 Rediseño Home en App	behance_84455255_15.png	"éQué te parecio? Dejanos un comentario.

No te olvides de seguirnos para no perderte las ultimas
novedades del equipo de UX de Mercado Libre

Bé & vy wi

Behance Dribbble Instagram Twitter Medium

Buscamos talentos para sumar al equipo

Si te gustan los desafios, el trabajo en equipo, el disefo y la
tecnologia, no dudes en contactarnos."
84455255 Rediseño Home en App	behance_84455255_11.gif	Visto recientemente
84455255 Rediseño Home en App	behance_84455255_14.png	"RESULTADOS

Mejoras para el usuario y el negocio

t 3%
66 Items vendidos

Esta nueva home esta mas prolija, las a
El contenido mas relevante se vio reflejado en

agrupaciones me ayudan a entender la cantidad de items vendidos
mejor lo que estoy viendo.

: \\ Mariano
i Usuario entrevistado en testeos a 6%
2 o

Items vendidos para usuarios nuevos

El contenido curado se vio reflejado en la
66 cantidad de items vendidos a nuevos usuarios

Es realmente una experiencia

superadora que motiva a descubrir y

se siente personalizada! °
P 2.5%

a
rs Maru cee co
. / / Trafico a pagina de producto
Usuaria entrevistada en testeos

Mas usuarios usan las recomendaciones y van
directo de la Home a la pagina de producto."
84455255 Rediseño Home en App	behance_84455255_01.png	"Mercado Libre Equipo UX

S

CASO DE ESTUDIO

Rediseno de
Home en app

Cémo redisefiamos la Home de Mercado Libre para
recibir a nuestros usuarios con una oferta
personalizada y atractiva. ;Y que eso se refleje en
muchas mas compras!

   
   
   
    

   
 
    

Ver mas

Visto recientemente

Mochila Bolso Tipo Anello Hersc
Maternal Usa Mujer

$ 3.599 15% OFF

Hasta 6 cuotas sin interés

Envio gratis 4 FULL

Ver tu historial

Llevate tus favoritos

 

LOS MEJORES
AURICULARES

  

BLACK FRIDAY

 

hel Kanken

     
 
   
   
 
  

Samsung
Tienda oficial

SAMSUNG

 

Lente Smartphone Tablet 3 En 1,
Ojo De Pez, Macro, Wide

 
   
       

$ 3.250 20% OFF $ 3.250 20% OFF
$ 3.250 %50 OFF Samsung Galaxy A10 (2019) Samsung Galaxy J4+ 32 GI
Hasta 6 cuotas sin interés 64 GB Negro Negro

Envio gratis

Short adidas Seleccién
Argentina Modelo Home

$ 1.250

Hasta 6 cuotas sin interés
Envio gratis

  

iPhone 7 32 Gb Originales
Consulta Colores Nuevos

$ 3.250 20% OFF $ 3.250
$ 3.250 Celular Samsung Galaxy J8 Celular Samsung Galaxy
Hasta 6 cuotas sin interés Liberado 32GB M10 Liberado
Envio gratis
Ver mas >

Puma Botin Futbol Hombre One
19.4 Fg - Ag Negro -Verde

$ 3.250

Hasta 6 cuotas sin interés
Envio gratis"
84455255 Rediseño Home en App	behance_84455255_02.png	"CONTEXTO

gQué queriamos mejorar?

Evaluamos en detalle lo que teniamos y encontramos
tres oportunidades claras de mejora.

NUESTRA HOME, PREVIA AL REDISENO

Aumentar la visibilidad de
nuestro feature mas usado

 

Darle mas jerarquia a nuestro

i buscador de productos.
S
v

  

$ 1.398 30% OFF $ 833 10% OFF
Zapatillas Volcom Beyblade Bey Blade
ELECTRODAYS Hombre King Soft Heat Burst Pack Inicial Lanza

Las ofertas que esperabas

 

@0000

y
an 2@) © : $ 1.472 sx oFF dé é

ath . oi Montreal Mujie
cédigo QR exclusivos semal Reloj Montreal Mujer

 

—B
Te
~l,

Pagos con Descuentos Tu historial Ofertas

&

  
 

MI368 Tienda Oficial En

_...................... egg aaa $ 4.769 10% oFF

. Silla De Comer Bebe

/
ee | ea ea

i  Personalizar el contenido —

Aprovechar mas el fold

Los productos sugeridos, que

   

son el contenido mas relevante
de la Home, apenas asomaban
sobre el fold.

 

 

Mostrabamos buenas ofertas, pero no
variaban de acuerdo a cada usuario: no tenian
estructura ni ldgica."
84455255 Rediseño Home en App	behance_84455255_06.png	"@) Tu historial de navegacion
Navegacion

Mochilas Herschel Heritage
Negro/marron Porta Note...

$ 3.250 %s0 oFF

Hasta 6 cuotas sin interés

Envio gratis .
A Hogar, Muebles y Jardin

Celular Huawei P8 Lite

Negro - Liberado

$ 11.250 %1 oFF
my

Ordenamos el contenido para darle a los Navega por categorias

usuarios un acceso facil a listados que le

interesan, como los items que ya visitd, 0 las
categorias que tiene por descubrir.

Ropa y Accesorios

 

Google Chromecast 3
Smart Tv Hdmi Usb Garan...

$ 2.250

Envio gratis

 

Electrodomésticos y Aires Ac

S}

Deportes y Fitness

Gorra Baseball Eye Of The
Tiger Goorin Bros

1.800
$ we

Juegos y Juguetes
Hasta 6 cuotas sin interés

 

Ver historial completo > Camaras y Accesorios

Ver todas las categorias"
84455255 Rediseño Home en App	behance_84455255_08.gif	"a

Recomendaci6n de productos

Separamos el componente en 3 secciones,

que pueden tomar formas distintas. Asi,

 

mos recomendai

 

oducto

   

jerarquias y enfoqui

 

es distintos

Visto recientemente

$ 3.250 20% OFF

$ 2.250

Ver mas

$1.250

$1.800

TITULO

CONTENIDO

CALL TO ACTION"
84455255 Rediseño Home en App	behance_84455255_13.png	
84455255 Rediseño Home en App	behance_84455255_07.png	"ANTES

 

ELECTRODAYS
Las ofertas que esperabas

 

e
ie
9
Mi ! XK
C
2 2
Pagos con Descuentos Tu historial Ofertas
cédigo QR exclusivos semal

~S

LD

Fold perfeccionado

Le dimos mayor visibilidad y
protagonismo al buscador, nuestro
feature mas usado.

Sintetizamos la informacion del main
slider en un componente que ademas
anticipa que vienen otros.

Aprovechamos de manera mas
eficiente la pantalla, y ganamos lugar
para mostrar mas contenido.

DESPUES

 

Visto recientemente"
84455255 Rediseño Home en App	behance_84455255_16.png	"mercadolibreuxteam

a

Créditos

Diseno

Andrés Vizio

Barbara Orlando

Martin Fabian Rodriguez
José Ignacio Pompé
Alejandro Martinelli
Ariel Perazzo

Federico Codino

Agustin Jeansalle

Desarrollo Producto y BI

Agustin Blanco Gabriela Fafian
Bautista Querejeta Juan Gordicz
Federico Lizondo Nicolas Alaimo
Franco Vitali

Gonzalo Guzzardi

Guido Gelman

Gustavo Silva De Sousa

Juan José Barrera

Julian Eloy de Titto

Leonardo Clavijo

Manuel Kenar

Martin Ciruzzi

Martin Fraga

Nicolas Moccagatta

Pablo Moretti

Paula Soledad Velazquez

Rodrigo Loguzzo

Roni Camjalli

Soledad De Matteo

Vladimir Pomsztein"
