Project Name	Image Filename	Extracted Text
84790813 Rediseño Home Nativa _ Mercado Pago	behance_84790813_04.png	"VISA

@® Santander Rio

mastercard SON

mastercard

she ag

te a=

 

S545

 

&

Asociamos las tarjetas

Mostramos las tarjetas que el usuario dio de
alta en Mercado Pago y Mercado Libre, y asi
empezamos a generar la asociacion de
nuestras marcas en una Unica cuenta.

02."
84790813 Rediseño Home Nativa _ Mercado Pago	behance_84790813_10.png	"llustraciones

 

{conos

i

to»

|

Una app para todos
los dias

Creamos un look & feel mucho mas
amigable, que esta a la altura de
nuestro producto y facilita a nuestros
usuarios sus transacciones de todos
los dias.

=) Usuarios empoderados

Impulsamos el cambio a segunda persona para
que el “tu” interpele a los usuarios y los motive a
la accién desde una voz de coach: les decimos
que tienen el control y los acompafhamos,
guiamos, ayudamos en lo que quieran lograr.

a ies!"
84790813 Rediseño Home Nativa _ Mercado Pago	behance_84790813_03.gif	"4

NU ear)

Una home disefiada
en modulos

ee Rl aa tou Sc Moe st eee I)
Cre ene or Sena CRs aCe eke nm Ca
Pe ee Ceca

PoPoSCeR Tree Onn)

 
 
     

EOE)

fer LT)
Cot Res eLy

    
 
   
 
 

$5 (Lessee
Eee aac

Bela UCC

  
 
 
  
 
 
 
  
 

Te RCE Cd

oD) “08

$0 5

Alaa re ey

    

&

Seo eos

   
 
  

    
  

Pec

® / .

Resumimos el estado
de tu cuenta

  

En las rows motivamos a nuestros.
usuarios a que conozcan todo lo que
pueden hacer con su cuenta y los
incentivamos a completarla. Este bloque

lo pueden colapsar para ocultar el saldo."
84790813 Rediseño Home Nativa _ Mercado Pago	behance_84790813_11.gif	"re SCE

RSL Loy

Mejoramos la experiencia

y los resultados

Mejoramos el dia a dia de més de 10 millones de usuarios, que usan
Ne aCe aN arm SCs

ANTES

Pens Roane
ro ITSO
proteger més la cuenta.

Mee Sree
Pe eee ee UTS}

Pagar con
digo GR

Cotte nr Tec Ceol
secundarias a cada usuario.

Silvina te sol

ORC)
Cee MaectcauT)
contenido.

Faja Unisex

 

QUE DICEN NUESTROS USUARIOS

66 ime encanta! @ iHago de todo con la
aplicaci6n! Cargo el celular de mi hija en
rae a NASA ERS st
ee RCOV EM es 1a

Soir)
eta CeNs tr

ree econ team ene eae
Ey MSR OMe cule CIS]
Fear Corea NN TOIL. Y

area)
Wet

iGracias por visitarnos!

 

DESPUES

Una tar
tu dinero en miles de

ALGUNAS METRICAS DEL NEGOCIO

4 150% ©

de tarjetas prepagas solicitadas
Pe MRIS eee NPA)

° 34% @

del total de Point Bluetooth vendidos
Dye eat Reg eae AOAC)

* 70% @©

de ingresos a solicitar un préstamo.
Dye tee RO Od"
84790813 Rediseño Home Nativa _ Mercado Pago	behance_84790813_01.png	"Mercado Pago ——————__ Equipo UX

Sy

MERCADO PAGO

Una nueva manera de
pagar y manejar el dinero
para nuestros usuarios

Con el redisefio de la home de Mercado Pago queremos que
nuestros usuarios descubran que pueden usar su dinero de
una manera diferente: que lo inviertan, paguen sus servicios o
compren en miles de locales, todo desde el celular y a un tap
de distancia.

Equipos involucrados UX _ Desarrollo

_ Producto

= = Ad)

 
    
   
     
    
    
 
  
 
 
  
  
   

Hola Sergio
$ 1.325 2°
$ 1.000 generados este mes

Todo sobre tu préstamo

Cobrar"
84790813 Rediseño Home Nativa _ Mercado Pago	behance_84790813_12.png	"Créditos

Cc

xX

Federico Codino
Leandro Di Pasquale
Santiago Sanchez
Paulo Rubiano

Maria Eugenia Esteban
Joaquin Lluis

Juan Pablo Imbrogno
Jorge Artuso

Ernesto Lavandera
Fiorella Allera

Federico Molinari

Desarrollo Producto
Agustin Maria Sanchez Paula Arregui
Facundo Esquivel Milo Ferrero
Gaston Sanguinetti Daniela Massa
Gonzalo Ibars Ingman

Guillermo Estoussel Doghel

Gustavo Del Giudice

Joel Marquez

Juan Ledesma

Juan Moreno

Julian Lima

Matias Casanova

Matias Fraga

Matias Tesio

Mauro Cardoselli

Pablo Carballo

Tomas De Lucca"
84790813 Rediseño Home Nativa _ Mercado Pago	behance_84790813_08.png	"Cc)

Acortamos las distancias

Trajimos el mapa con los locales que
aceptan cddigo QR a la home para que
sea mas simple consultar los lugares
donde se puede pagar con la app.

   

Yat ONS,

   

jPaga con QR en
tus locales favoritos! e

 

® € 8 @

Ver locales cercanos"
84790813 Rediseño Home Nativa _ Mercado Pago	behance_84790813_07.gif	"Descubri mas

      
 
   
 

ed

Mostramos mas Creamos un espacio para que los usuarios Co

productos Pte Tame eM ted ecetelg tes
Pies aCe RC SSS

CS Tree Ber ae RL TL

oho

Nea

eRe)
COE Groce)

 

Decne very Porta
PAGA TUS COBRA CON
re TARJETAS EN
HACER FILA TU CELULAR

  

peeCneetercy Poet

RECARGA CREDITO CIS GU Nar N Fi ,
PRTC ag | Y NO TE QUEDES ee
SIN EFECTIVO SIN VIAJAR aa

 

| —_—"
84790813 Rediseño Home Nativa _ Mercado Pago	behance_84790813_02.png	"NUESTRO DESAFIO

Una historia
que se cuente sola

Buscamos que los usuarios entiendan todo lo que pueden hacer con nuestra app,
sin tener que pasar por un onboarding o una instancia educacional compleja.

PAGADOR
VENDEDOR
CUENTA
DIGITAL
¢ a . ¢ a .
\
A’ .B}
See’ sue
Qué teniamos Las funcionalidades disponibles eran un monton: Como Agrupamos en el primer bloque todo lo relacionado
para contar pagar, usar descuentos, recargar el celular, cobrar, ordenamos al dinero y sus estados para luego contar las
enviar dinero, entre otras. esa historia acciones mas comunes para hacer pagos y cobros,

asi el usuario entiende a simple vista qué puede
hacer con su dinero."
84790813 Rediseño Home Nativa _ Mercado Pago	behance_84790813_06.png	"Pagar
Servicios

a

Cargar
Starbucks card

a

Recargar
celular

tor

Enviar
dinero

Cobrar

 

Recargar
DIRECTV

Y también novedades...

Cobrar
con QR

ES

Cobrar
con Point

tos

=—

Enviar
dinero

Cobrar

Cobrar
con link

ss

Recargar
DIRECTV

oO

7

Adaptamos los accesos
acorde al uso

Buscamos que nuestros usuarios ingresen
mas rapido a los flujos que suelen usar,
llevamos al frente los botones de pago o
cobro segun el caso.

04."
