Project Name	Image Filename	Extracted Text
113863603 Sección Amigos en Mercado Pago	behance_113863603_02.png	"NUESTROS DESAFIOS

KY

Trasladar la facilidad de pasar
dinero de mano en mano a un
producto digital.

PR

Contar una historia social en una app
entendida como una billetera de pagos.

E>

Nutrirnos de la red de personas que usan la billetera

para impulsar la adopcidn de experiencias sociales.

 

Historial

Oe €0O

Pediste $ 300 a Carla Loren

Regalo de cumpleafios

jRecibiste el total de $ 1.800!
Sabado

Matias rechazo el pedido de
dinero
Teatro

Juan Gémez te envid $ 500
Juntada

Carla Levi te envid $ 200
Salida

Ver todo el historial"
113863603 Sección Amigos en Mercado Pago	behance_113863603_06.gif	"Enviar dinero

Es como pasar dinero
de mano en mano

Es gratis usando dinero
en Mercado Pago o
tarjeta de débito.

4

Se envia en el acto.

    

€ jAquién le querés enviar?

 

Q Buscar nombre, teléfono o e-mail

Recientes
=
= ¢
fet
°o o
Camila Rafael Mariela Maria Carl
Lopez Guerrero Tomas Sanchez Gom

Tus contactos

Camila Gonzalez
camilagonzalez@gmail.com

Maria Ana
m_ana @gmail com

@
&

Rafael Guerrero
+5491143212345

Marin Naminniuar

<4 e a"
113863603 Sección Amigos en Mercado Pago	behance_113863603_04.gif	"a
a=
Ts"
113863603 Sección Amigos en Mercado Pago	behance_113863603_09.gif	"Tuenti Z © ot eG BD)

Dividir gastos 9.99

Miércoles 30 de Septiembre

éQue que

 

Total a dividir

°O |

Ingresar motivo

Nuevo gasto

 

; Club de la birra $600 (5
tye Hoy

= — resp Loshermanos verduleria $345 oO
Ayer

Farmacity $ 1.207,3 Oo
Ayer

   

MIB pane eee ath tn .
Ideal para gastos compartidos como comprar un regalo
© pagar una cena. Mercado Pago hace la cuenta por vos.

< @ a 01 Seleccionas gastos hechos con la app o ingresas
nuevos pagos.

02 Agregas el motivo del pedido.

03 Envids el pedido de dinero a todas las personas
seleccionadas, jdividimos el monto por vos!"
113863603 Sección Amigos en Mercado Pago	behance_113863603_13.png	"ey

ey SN @$=>ESES
=

SS ws
as
OY

»)
fe
J —
Mx SS

—S
BSS =

SS

 

RESULTADOS

Las cuentas quedaron claras
127 millones* de veces
en toda la region

eel

QUE DICEN NUESTROS USUARIOS ALGUNAS METRICAS DE AMIGOS
4 4 Es simple. Mi papa no entiende mucho 7 veces mas personas
y sin embargo le mandé la invitacion 5 5
para que me envie dinero y no tuvo enviaron dinero
problema.

Entre marzo y diciembre 2020.

nen de Android
5,6 transacciones
(4 (4 Es facil de usar e intuitivo. Ay N @-tol-lantshon ole) cuenta

pueden usarlo quienes no tienen la
aplicacién, mediante links. Es el promedio entre marzo y diciembre 2020.

Carla
Usuaria de iOS
“Total aproximado de transacciones entre abril

y diciembre 2020 en Argentina, Brasil y México."
113863603 Sección Amigos en Mercado Pago	behance_113863603_10.png	"CONTROL

Te ayudamos a mantener
las cuentas claras"
113863603 Sección Amigos en Mercado Pago	behance_113863603_05.png	"COMO LO HICIMOS

Nos volvemos parte de la conversacion
diaria entre personas que necesitan
pasarse dinero"
113863603 Sección Amigos en Mercado Pago	behance_113863603_08.gif	"Vv «4 sf 12:30

 

€ ~Aquiénle querés pedir? OC. @ Pp d e d e
a edairF aqinero

Coe ipen a eon eiedeanal Pedile a cualquier persona de tu agenda

     
  
    
 

Recientes

A Eligiendo uno 0 varios Ingresando un e-mail Creando un link para compartir
oO o d de tus contactos. - .o un teléfono. con quienes quieras, tengan o

Rafael Mariela Maria Carl no cuenta de Mercado Pago.
Guerrero Tomas Sanchez Gom

 

Tuenti 2 ©

Maria Martinez
mariamartinez@gmail.com

foreyaitalet=ls"
113863603 Sección Amigos en Mercado Pago	behance_113863603_07.png	
113863603 Sección Amigos en Mercado Pago	behance_113863603_12.png	"No es necesario anotar
nada ni hacer cuentas

Los pedidos de dinero cuentan

con un detalle completo. 7 .
Recibiste para Regalo de cumpleafios
a, \ $ 400 de $ 600 e

Pediste $ 200 a cada uno.
Monto recibido hasta

el momento. Envio de

NO ENVIARON 1DE3 recordatorios rapidos.
2d Mariela Tomas

ENVIARON 2DE3

a Camila Gonzalez Ver detalle
wo Fr Estado de envios

@ Maria Martinez Ver detalle recibidos y pendientes.

Pedido creado el 20 de septiembre"
