Project Name	Image Filename	Extracted Text
37240929 Sección preguntas y respuestas	behance_37240929_12.gif	"mensajes
ilustrados

Queremos contener a los
usuarios en los casos en los
que no tenemos informacién
para mostrarle.

Publicacién Cerrad

El vendedor cerré esta put

 

 

eo —
=. 9:41 AM

Preguntas

jNada por aqui!
Por el momento, no tienes
preguntas.

100% iam

|
iblicacién pausada

ctivala desde tu cuenta!"
37240929 Sección preguntas y respuestas	behance_37240929_08.png	"compartir otras
publicaciones ~~

Al responder, los vendedores
pueden adjuntar otros productos
que tengan disponibles, para
renovar una oferta o ayudar al
comprador a elegir el producto
que mas le convenga.

7) Applewatch Sport 38 mm Black Origin...

Te puedo ofrecer uno de 42 mm.
Te lo adjunto.

 
  

 

$ 9,000
Apple watch Sport

 

Hoy

Hola, queria saber si tenfas este
producto en azul? Gracias!

$ 9,000

Apple watch Sport
42mm, Aluminio, Caja
Sellada !!

S"
37240929 Sección preguntas y respuestas	behance_37240929_07.png	
37240929 Sección preguntas y respuestas	behance_37240929_13.png	"igracias!

mercado
libre"
37240929 Sección preguntas y respuestas	behance_37240929_10.gif	"@ Amarilioyverde 43

@ amaritio

Ver publicacién"
37240929 Sección preguntas y respuestas	behance_37240929_01.png	"mercado Afio: 2015 UI/UX - Mobile App - @

seccion de ( :
preguntas .
y respuestas ~

En Mercado Libre creemos que en cada
operacién tenemos la oportunidad

de generar vinculos humanos sdlidos. En qué horario atienden? Gracias
Detras de la pantalla hay usuarios
reales, y queremos que sientan esa
cercania cuando usan la app.

 

Applewatch Sport 38 mm Black Original

stock?, quisiera saber si tenes en
Os?, aceptas MercadoPago?, cuanto...

6d

 

> cambio mano a mano por el iPhone 5s

$ 9,000° y que tengo publicado. Te sirve?

Apple watch Sport
42mm, Aluminio, Caja
Sellada !!

iy Samsung Galaxy S6 32 Gb Octacore...

MACL7189778 5d

Hola, tenés en stock?, quisiera saber si tenes en
otros tamafios?, aceptas mercadopago?, cuanto..."
37240929 Sección preguntas y respuestas	behance_37240929_05.png	"< _ Nore DE USUARIO 4

Primera Pregunta sobre la Publicaci6n 2

Enviar un Mai

LLamar

 

ss

El flujo esta dividido
en tres grandes partes
que ayudan a
optimizar el uso de la
herramienta.

NOMBRE DE USUARIO 1
€ _Listado de Preguntas € Listado de Preguntas €

 

1. Listado de preguntas
2. Detalle de la pregunta
3. Funcionalidades para
responder"
37240929 Sección preguntas y respuestas	behance_37240929_03.png	"vendedores:
ordenamiento
por producto 0+

Los vendedores pueden administrar
mejor las consultas que reciben y darle
la prioridad correcta a cada una.

 

Auriculares Wireless Inalambrico Beat...

 

ATLANTAI973 12d
En qué horario atienden? Gracias
N
X
\\s9778 Sd

\tenés en stock?, quisiera saber si tenes en
tamafios?, aceptas mercadopago?, cuanto...

  

CONTTI 6d

 

ola! te lo cambio mano a mano por el iPhone 5s
pace gray que tengo publicado. Te sirve?

on

my
Ri | Samsung Galaxy S6 32 Gb Octacore...

MACL7189778 5d

Hola, tenés en stock?, quisiera saber si tenes en
otros tamafios?, aceptas mercadopago?, cuanto...

 

ff"
37240929 Sección preguntas y respuestas	behance_37240929_11.png	"Auriculares Wireless Inalambrico Beats By...

Hola, tenés en stock?, quisiera saber si tenes en
tamafos?, aceptas MercadoPago?, cuanto...

 

 

Hola, tenés en stock?, quisiera saber si tenes en
otros tamafios?, aceptas mercadopago?, cuanto...

S

 

oy Auriculares Wireless Inalambrico Beats By... e

ATLANTA1973 12 ¢

En que horario atienden? Gracias

=
""| | Samsung Galaxy S6 32 Gb Octacore

 

a

Te puedo ofrecer uno de 42 mm.

z we . Te lo adjunto.
Hola, tenés en stock?, quisiera saber si tenes en d

otros tamafos?, aceptas MercadoPago?, cuanto...

we

  

Hola ! te lo cambio mano a mano por el iPhone 5s ete -
le watcl ort,
space gray que tengo publicado. Te sirve? umn
Sellada,
Hoy
im:
Samsung Galaxy S6 32 Gb Octacore... Hola, querfa saber si tenias este

producto en azul? Gracias!

owe
$ 1,000

Apple watch Sport,

Hola, tenes en stock?, quisiera saber si tenes en a ~ Aluminio, Caja
otros tamafios?, aceptas MercadoPago?, cuanto... eal alana

Sellada, Amarillo!

 

  

yes El Samsung Edge 64gb | ‘S

Eliminar

Quiero un edge 6 dorado tengo 7000 ef resto
cuotas puede ser?

fA Apple Watch Sport 42mm Aluminum Ca... Adjuntar publicacion

Q. 3Qué estas buscando?

gS Applewatch Sport 38 mm Black...
R$ 56.900 x8 Unidades

MACL7189778 5c

Hola, tenés en stock?, quisiera saber si tenes en
otros tamafos?, aceptas MercadoPago?, cuanto...

Ténis Adidas Wings Jeremy Scott

iListo! Eviamos tu mensaje. R$ 440,90 x12 Unidades

4 | Samsung Galaxy Edge S6 Edge...
R$ 2.837,61 x25 Unidades

 

Hola, tenés en stock?, quisiera saber si tenes en
otros tamafios?, aceptas MercadoPago?, cuanto... i) Camera Go Pro Hero3 + Black

z
R$ 209,90 x1 Unidad

z. Ténis Adidas Wings Jeremy Scot...
SS R$ 670,35 x10 Unidades

 

 

 

oO Azul 42 6 Samsung Galaxy S6 32 Gb Octac@e...

#cccccc / Line #cccccc / Line #333333 / headline_1

Hola, queria saber si tenfas este sr
producto en azul? 1 | Samsung Galaxy S6 32 Gb Octacore...
Ze)

#eeeeee"
37240929 Sección preguntas y respuestas	behance_37240929_02.gif	"didlogos mas
dindmicos”

Antes teniamos un sistema lineal en
el que las respuestas parecian
automaticas. El nuevo enfoque
plantea un intercambio de mensajes
a través de un chat, mucho mas
cercano y personal."
