Project Name	Image Filename	Extracted Text
168849629 Seguros Pessoais: UX escalável e sem letras miúdas	behance_168849629_09.png	"Seguro para Vida
Seguro para Acidentes Pessoais

TEMPO DE DESENVOLVIMENTO

PAISES ONDE LANGAMOS OS SEGUROS

04

ROLL-OUTS
Agilidade nos langcamentos

Todo o trabalho feito com o desenvolvimento de capabilities e
escalabilidade nos possibilitou realizar os langamentos dos
novos produtos cada vez mais rapido mantendo a qualidade e
alinhamento."
168849629 Seguros Pessoais: UX escalável e sem letras miúdas	behance_168849629_08.png	"ESTRATEGIA

 

03

DESAFIOS TECNICOS

Integracao e estrategia de roll out progressivo

O desenvolvimento dessas capabilities e o trabalho com equipes externas geraram volume e diversidade de interagdes que tornaram mais
complexa a saida a producao, por isso dividimos 0 processo em etapas para que Os novos produtos fossem langados de forma gradual e

 

Trabalhamos com as equipes de
Produto e Neg6cios para estudar,
analisar, conceituar e definir a
proposta de valor que definiria a
experiéncia de nossos produtos.

Product Discovery

Definigdo do produto e
alinhamento com stakeholders.

UR Test

Fake Door para validar interesse e
impacto potencial.

CAPABILITIES

sequencial.

TESTES & ROLL OUT

 

Nos alinhamos a proposta conceitual e

desenhamos a experiéncia completa

do fluxo de Aquisigao e Administragao
priorizando o impacto e a experiéncia

de nossos usuarios.

Cotizador,
Administrador &
Mensageria

Definigdo de capabilities divididas
em dois principais produtos, com
desenho, desenvolvimento e
integragdo de experiéncias.

Validamos entendimento e usabilidade

das capabilities. Priorizamos os
componentes que ja estavam em

producgao e que eram indispensaveis

para a experiéncia do usuario.

Testes F&F

Testes funcionais de entendimento
e usabilidade.

MVP - VO

Ativagao progressiva do produto 1
no Mercado Pago Brasil.

ROLL OUT MVP - V1

 

Nos aprofundamos nos componentes

complementares, definimos uma
metodologia de adaptacao a outros
sites e de melhoria continua para
seguir focados em growth.

MVP - V1

Ativacgao progressiva do produto 2
no Mercado Pago Brasil.

Melhora continua +
Growth

Integragdo de componentes e
fluxos focados em growth."
168849629 Seguros Pessoais: UX escalável e sem letras miúdas	behance_168849629_01.png	"&

 

Seguros Pessoais

UX escalavel e sem letras miudas!

Como desenvolvemos capabilities para revolucionar
o jeito de contratar e administrar Seguros pessoais

no Mercado Pago no Brasil, Argentina e México.

CONTEXTO
| Seguros Pessoais na America Latina

Apolice, corretor de seguro, caréncia e franquia sao algumas das palavras do
mundo dos seguros tradicionais que expressam as burocracias na hora da
contratagao e do uso das coberturas.

« Pesquisas apontam gue 85% das pessoas da América Latina tem dificuldades
para contratar seguros.

 

Por isso, desenhamos uma proposta simples, transparente e sem letras
miudas para que as pessoas possam garantir sua tranquilidade com as
cobertura dos seguros que oferecemos.

Uma protecao completa com
mensalidades acessiveis

Ofertar um seguro apenas com as coberturas “tradicionais”, como morte ou
—_—> invalidez, € um desafio imenso, pois estes sao temas sensiveis para as pessoas.
(oD);

Por isso, decidimos oferecer o Seguro para Vida © eo Seguro para
Acidentes Pessoais fp combinando as coberturas “tradicionais” com
beneficios para a saude, criando assim, um produto util para o dia-a-dia.

 

fn} ei a =

Inicio Atividade Notificagées Mais"
168849629 Seguros Pessoais: UX escalável e sem letras miúdas	behance_168849629_06.png	"ey En eT ps

    
 

Ola! Eu sou o assistente virtual do seu
seguro. Para comecar seu atendimento,

AY tS) n Sa \e| e a S| ; 4 selecione o beneficio que deseja

aproveitar, ou use uma de suas
coberturas. f

Que tipo de atendimento vocé deseja?

31/12 - 00:00

Telemedicina 24/7

16/07 - 12:00

Ok! Em instantes vamos te enviar aqui no
chat, o link para comecar sua
teleconsulta.

Escreva uma mensagem 6 |
<2 | a"
168849629 Seguros Pessoais: UX escalável e sem letras miúdas	behance_168849629_11.png	"©

AGRADECEMOS SUA VISITA!"
168849629 Seguros Pessoais: UX escalável e sem letras miúdas	behance_168849629_02.png	"01

DEFINICOES E OBJETIVOS

Como transformar burocracia em facilidade?

Ao desenvolver este projeto, tinhamos o objetivo de democratizar o acesso aos seguros pessoais. O que foi muito desafiador, uma vez que
tivemos que adaptar a experiéncia burocratica de contratar seguros, a uma proposta simples, facil e 100% digital. Para isso, focamos em 3
principais pontos para organizar nossa forma de trabalhar.

Flexibilidade Escalabilidade Teamwork

Como proporcionar toda a Como integrar as propostas de Como construir espacos de trabalho
informagao necessaria para uma seguros que ja existiam no Mercado efetivos com equipes internas,
contratacao transparente? Pago e como fazer com que isso externas e integradores

seja escalavel a varios paises? tecnoldgicos?"
168849629 Seguros Pessoais: UX escalável e sem letras miúdas	behance_168849629_03.png	"9 4 & 12:30

=* ae
ass < Detalhe do seguro
oe
ad

@ Protegido
Seguro para Acidentes Pessoais

ertificado: 1099300103

Seus beneficidrios

Aconteceu algo?

e em “Usar sé

Cae ee

Usar seguro
Contato x

Sta COnversandgo Com {a Seguradora}

Old Caio, vamos dar inicio ao seu caso. Suas coberturas e beneficios
Para continuar, poderia nos informar por
que vocé foi hospitalizado? - ,

© Invalidez permanente por acidente

® Morte por acidente

e Fratura de ossos e queimaduras graves
oi! eu quebrei minha perna /
jogando futebol. '
CAPABILITIES ies
icio » otificacd Mai

Ok. Em que dia ocorreu 0 acidente?

Garantindo uma experiéncia savescsmsaem
familiar e personalizada

 

POPP}

we ee

Por quantos dias ficou hospitalizado?

Desenhamos nosso produto pensando na escalabilidade dos
componentes e conteudos a outros produtos e a outros paises, além
de facilitar a forma de contratar e usar oS Seguros: bastam poucos
cliques para garantir ou utilizar uma cobertura.

< Seus beneficidrios

icionar, editar ou

+ Cadastrar novo beneficiario

Caio Viana
Filho(a

Pamela Oliveira

Filho(a"
168849629 Seguros Pessoais: UX escalável e sem letras miúdas	behance_168849629_14.png	"Quer conhecer mais? Siga nossas redes

Nao deixe de curtir, comentar e seguir a gente para nao perder as
ultimas novidades da equipe de UX do Mercado Livre.

Be at) vy en

Behance Dribbble Instagram Twitter Medium

ey"
168849629 Seguros Pessoais: UX escalável e sem letras miúdas	behance_168849629_12.png	"mercadolibreuxteam

U7

  

x

Créditos

Cc

xX

Débora Lambrechts =
Natalia Barrientos =
Paola Reyes Wl
Pamela Oliveira &
Laura Depetris =
Caio Viana &

Jesus Hurtado Wl

UX Research
Sol Velazquez =

Camila Giacomelli &

Marketing
Sabrina Conde &
Martina Toccalino =

Ramiro Graziano =

Desarrollo

Ariel Carignano =
Esteban Vicentini =
Ayelén Cian &

Maria Carolina Tejeiro =
Andrés Velasco =
Diego Garcia =
Diego Pereyra &
Alejandro Miser &
Luciano Masuero &
Mateo Hildbrand =
Oriana Ruiz =
Nardhy Diaz Flores =
Juan Manuel Petrussi =
Nicolas Bertozzi =
Juan Cruz Grasso &
Alejo Benedetti =
Franco Berardi =
Emanuel Richieri =
José Riano

Andrés Zapata =

Producto
Florencia Maffezini =

Benjamin Schang =&

Negocio

Michelle Brito =
Lucila Wagner=
Alessandro Labelli ©
Vanessa Viviani &
Luciana Holman =
lvan Colombo ==
Cindy Cordero ©
Camila Gallo =
Rodrigo Britto =

Flavio Alves"
168849629 Seguros Pessoais: UX escalável e sem letras miúdas	behance_168849629_04.png	"< Seguro para Vida

 

Agora € a hora de escolher as coberturas do
seu seguro.
- INCLUI ASSISTENCIA FUNERAL
Morte CAPABILITY 1 . .

Como titular do seguro, vocé escolhe o

e@ e e e e
valor que seus beneficidrios irao receber Cotizador
em caso de morte.
R$ 50.000 a . .
Apolices super complicadas? Nunca mais!
O . . . Construimos uma experiéncia de simulador escalavel a qualquer produto, com
R$ 25.000 R$ 150.000 componentes que trazem o equilibrio entre nado gerar cansa¢o cognitivo e
informar tudo que a pessoa precisa saber para contratar, cumprindo assim, nosso
Detalhes da cobertura Vv objetivo de criar uma solu¢ao transparente, e ao mesmo tempo, diminuir a carga

cognitiva da contratacao.

Assisténcia funeral

para cénjuge e filhos ae

V4

Prestacdo de servicos funerarios ou
reembolso das despesas até R$ 5.000.

Detalhes da cobertura Vv

Doengas graves +R$ 116

\ J"
